,OBJECTID,PIN,TAX_ID,ADDRESS,ACREAGE,ACRE_PL,ACRE_CR,TAX_TYPE,REV_DATE,CVT_NAME,COM_DIST_C,MSN_URL,TAX_URL,BSA_ID,Shape,GlobalID,Shape.area,Shape.len
43,262614,08-07-353-008,08-07-353-008,15331 PRENTICE CT,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6900454165081~-82.9740813344501&style=o&sp=Point.42.6900454165081_-82.9740813344501_08-07-353-008_15331 PRENTICE CT MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-008&SearchFocus=All+Records&uid=259,20-08-07-353-008,,{04F76E3F-5456-4980-8A87-C65A084AF509},15706.92,501.22
44,263071,08-07-353-006,08-07-353-006,15383 PRENTICE CT,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6900300677045~-82.9733456328023&style=o&sp=Point.42.6900300677045_-82.9733456328023_08-07-353-006_15383 PRENTICE CT MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-006&SearchFocus=All+Records&uid=259,20-08-07-353-006,,{883E9396-9530-43AE-93E4-09FC6E233958},12314.78,451.79
45,263072,08-07-352-008,08-07-352-008,53576 FITZGERALD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6907306197204~-82.9727139469051&style=o&sp=Point.42.6907306197204_-82.9727139469051_08-07-352-008_53576 FITZGERALD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-008&SearchFocus=All+Records&uid=259,20-08-07-352-008,,{4F760C6D-12FD-4B5C-85F3-05DA81D1921D},11942.27,489.24
46,263519,08-07-352-026,08-07-352-026,15230 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6886033639697~-82.975122033698&style=o&sp=Point.42.6886033639697_-82.975122033698_08-07-352-026_15230 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-026&SearchFocus=All+Records&uid=259,20-08-07-352-026,,{9E79D632-FED3-49CA-B9DC-05C586B6B6D5},15428.4,510.91
47,263520,08-07-353-009,08-07-353-009,15330 PRENTICE CT,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6897446217571~-82.9741701926269&style=o&sp=Point.42.6897446217571_-82.9741701926269_08-07-353-009_15330 PRENTICE CT MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-009&SearchFocus=All+Records&uid=259,20-08-07-353-009,,{B48BCA05-CB73-4FD7-981F-1AB44CB62297},13796.45,506.59
48,263521,08-07-352-007,08-07-352-007,15407 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6909143736963~-82.9728983358763&style=o&sp=Point.42.6909143736963_-82.9728983358763_08-07-352-007_15407 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-007&SearchFocus=All+Records&uid=259,20-08-07-352-007,,{A9946C83-366B-43EF-A830-7F8110FEE5A0},14324.8,514.29
49,264371,08-07-352-016,08-07-352-016,53384 FITZGERALD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6890892031169~-82.9726805823425&style=o&sp=Point.42.6890892031169_-82.9726805823425_08-07-352-016_53384 FITZGERALD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-016&SearchFocus=All+Records&uid=259,20-08-07-352-016,,{C843F253-2127-4DC2-B427-DABA26B65506},8629.22,382.09
50,264372,08-07-353-011,08-07-353-011,15382 PRENTICE CT,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6894439097187~-82.9736530550394&style=o&sp=Point.42.6894439097187_-82.9736530550394_08-07-353-011_15382 PRENTICE CT MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-011&SearchFocus=All+Records&uid=259,20-08-07-353-011,,{09F5B418-85B6-444B-9B9C-81F7F7B63F0B},10079.65,432.51
51,264818,08-07-352-009,08-07-352-009,53552 FITZGERALD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6904582069172~-82.9727210769022&style=o&sp=Point.42.6904582069172_-82.9727210769022_08-07-352-009_53552 FITZGERALD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-009&SearchFocus=All+Records&uid=259,20-08-07-352-009,,{85A9DB42-2681-411A-A211-63A1692A9735},10857.66,426.3
52,264819,08-07-352-006,08-07-352-006,15381 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6908980766856~-82.9733015621481&style=o&sp=Point.42.6908980766856_-82.9733015621481_08-07-352-006_15381 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-006&SearchFocus=All+Records&uid=259,20-08-07-352-006,,{5AAACCE1-110B-494A-885B-153F740BD714},10493.84,418.15
